employee_id,experience_group,years_of_experience,role,ats_format_score,ats_content_score,ats_keyword_score,ats_overall_score,current_salary,market_rate,location,company_size,technology_stack_count,performance_rating,project_success_rate,skill_proficiency_avg,certification_count,education_level,institution_ranking,domain_experience,leadership_score,communication_score,project_complexity_avg,learning_velocity,cultural_fit_score,retention_risk_score,negotiation_history_avg,is_internal_referral,time_to_promotion,training_hours_completed,mentorship_participation,cross_functional_experience,required_hike_percentage,timestamp
EMP_0055,freshers,0,Full-stack Developer,82.5,86.6,78.5,82.6,6.3,7.2,Bangalore,Enterprise,3,4.1,87.1,8.8,2,PhD,66,HealthTech,5.2,9.2,5.1,9.7,9.7,1.2,0,False,23,88,False,0,15.0,2025-02-18T14:58:35.789041Z
EMP_0676,mid_level,3,UI/UX Designer,89.8,91.4,96.5,92.6,22.5,28.2,Delhi,Startup,5,4.3,90.1,6.5,1,PhD,63,HealthTech,8.9,8.9,6.6,8.7,9.7,1.0,15.0,True,15,332,True,1,25.0,2025-03-13T14:58:35.797780Z
EMP_0365,junior,1,Product Manager,93.6,93.7,100,95.8,10.6,12.7,Delhi,Startup,2,5.0,99.6,9.6,1,Bachelor,94,AI/ML,9.7,7.3,5.0,8.7,9.9,1.0,16.0,True,22,229,False,0,20.0,2024-12-20T14:58:35.793540Z
EMP_0534,junior,1,Product Manager,83.9,71.8,81.6,79.1,9.8,11.8,Bangalore,Startup,3,3.5,77.8,7.3,4,Bachelor,76,EdTech,6.3,7.7,6.7,9.5,8.3,1.5,28.6,True,21,169,False,0,20.0,2025-01-06T14:58:35.795933Z
EMP_0978,senior,12,Backend Developer,68.6,75.9,70.8,71.7,19.7,25.6,Gurgaon,Enterprise,8,3.5,78.2,8.1,4,PhD,78,HealthTech,5.5,8.4,10.0,7.8,8.6,1.5,5.4,False,6,1087,False,12,30.0,2025-08-07T14:58:35.802064Z
EMP_0357,junior,1,Tech Lead,61.3,60,69.9,63.8,9.0,10.7,Gurgaon,Mid-size,3,3.0,70.1,6.8,5,PhD,74,E-commerce,6.6,8.6,5.2,10.0,8.2,1.9,7.8,True,22,195,False,1,20.0,2025-02-28T14:58:35.793040Z
EMP_0057,freshers,0,QA Engineer,75.3,81.2,78.8,78.5,6.0,6.9,Noida,Mid-size,3,3.4,75.5,6.7,6,PhD,91,Gaming,9.6,6.7,5.0,8.2,8.7,1.3,0,True,23,64,True,0,15.0,2025-08-26T14:58:35.789041Z
EMP_0298,junior,1,Full-stack Developer,87.2,93.3,100,93.5,10.3,12.3,Gurgaon,Mid-size,4,4.6,94.0,9.0,8,PhD,92,Enterprise Software,7.1,7.2,6.8,7.9,8.6,1.0,11.0,False,21,217,False,1,20.0,2025-06-01T14:58:35.792540Z
EMP_0219,freshers,0,UI/UX Designer,73.5,85.1,85.4,81.3,6.2,7.1,Bangalore,Enterprise,3,4.0,84.3,7.6,6,Bachelor,64,HealthTech,9.7,6.5,5.0,8.0,9.7,1.4,0,False,22,105,False,0,15.0,2025-06-09T14:58:35.791540Z
EMP_0634,mid_level,4,Full-stack Developer,73.4,66.8,73.8,71.3,15.9,19.9,Mumbai,Mid-size,7,3.3,75.2,9.0,2,Bachelor,62,IoT,9.0,6.8,8.7,8.9,7.3,1.4,5.6,False,12,417,False,3,25.0,2025-03-30T14:58:35.797215Z
EMP_0954,senior,8,Tech Lead,77.4,84.3,82.1,81.3,23.4,30.4,Delhi,Enterprise,8,4.1,86.7,7.8,8,PhD,89,Social Media,8.2,7.0,10.0,6.5,9.6,1.1,8.7,False,6,694,False,3,30.0,2025-04-24T14:58:35.802064Z
EMP_1000,senior,10,DevOps Engineer,81.1,85.6,82.4,83.0,26.2,34.0,Bangalore,Startup,8,4.1,87.0,5.9,5,Bachelor,84,FinTech,5.2,8.6,10.0,8.8,6.5,1.1,14.2,True,6,918,False,10,30.0,2025-06-10T14:58:35.802566Z
EMP_0192,freshers,0,QA Engineer,92.9,100,94.0,95.6,9.1,10.4,Bangalore,Enterprise,3,4.9,99.1,5.1,0,PhD,70,Social Media,8.5,9.9,5.0,8.1,7.6,1.0,0,True,21,127,True,0,15.0,2025-06-08T14:58:35.791040Z
EMP_0912,senior,8,DevOps Engineer,91.4,97.3,88.5,92.4,20.7,26.9,Delhi,Enterprise,8,4.8,96.5,5.8,1,Master,86,Social Media,6.7,8.1,10.0,6.7,7.8,1.0,21.6,True,6,761,True,1,30.0,2024-11-29T14:58:35.801560Z
EMP_0316,junior,1,Backend Developer,77.5,86.3,72.7,78.8,10.4,12.5,Gurgaon,Enterprise,2,3.9,82.9,5.6,7,Bachelor,63,Gaming,8.2,9.0,6.1,9.4,8.5,1.0,22.8,True,20,195,True,0,20.0,2025-03-30T14:58:35.792540Z
EMP_0764,mid_level,4,UI/UX Designer,74.1,71.7,66.0,70.6,19.4,24.3,Gurgaon,Enterprise,7,3.0,70.4,8.4,1,Bachelor,63,AI/ML,7.5,8.6,8.9,8.2,7.5,1.9,22.8,False,15,414,False,4,25.0,2025-03-29T14:58:35.799289Z
EMP_0608,mid_level,2,Data Scientist,74.2,76.6,76.2,75.6,15.5,19.3,Noida,Enterprise,5,3.8,81.8,5.6,8,PhD,66,Cloud Infrastructure,7.6,7.9,6.8,6.7,6.9,1.0,7.2,True,20,263,False,1,25.0,2024-12-11T14:58:35.796442Z
EMP_0016,freshers,0,Product Manager,75.7,79.4,75.3,76.8,6.9,8.0,Pune,Startup,2,3.4,75.9,8.3,3,Master,60,Enterprise Software,9.7,6.3,5.6,6.4,7.3,1.4,0,True,23,91,False,0,15.0,2024-12-20T14:58:35.788540Z
EMP_0391,junior,1,Product Manager,78.1,90.3,82.3,83.5,11.4,13.6,Delhi,Enterprise,3,4.3,89.2,7.2,8,Bachelor,73,E-commerce,8.2,6.0,5.0,6.2,8.2,1.2,8.3,False,18,217,True,1,20.0,2024-09-04T14:58:35.793540Z
EMP_0878,mid_level,3,DevOps Engineer,78.4,82.2,86.0,82.2,13.4,16.7,Hyderabad,Mid-size,6,4.2,87.9,8.3,2,Master,70,Cloud Infrastructure,8.7,7.2,7.0,9.4,8.1,1.0,13.2,False,14,301,True,3,25.0,2025-08-04T14:58:35.801055Z
EMP_0799,mid_level,3,Frontend Developer,74.9,68.3,77.9,73.7,15.4,19.2,Bangalore,Enterprise,6,3.3,74.2,8.6,1,PhD,71,Social Media,7.1,8.3,6.6,9.2,9.1,1.8,20.6,True,16,382,False,1,25.0,2024-12-17T14:58:35.799786Z
EMP_0860,mid_level,2,Data Scientist,84.3,84.5,92.0,86.9,13.7,17.1,Hyderabad,Enterprise,5,4.1,86.0,5.1,5,PhD,87,E-commerce,8.9,7.2,5.7,9.3,6.6,1.0,13.5,True,21,251,False,2,25.0,2025-01-03T14:58:35.800550Z
EMP_0637,mid_level,2,Mobile Developer,78.5,83.2,88.7,83.5,12.6,15.7,Chennai,Mid-size,4,3.7,80.1,6.1,3,Master,86,Cloud Infrastructure,5.6,9.6,7.2,7.2,8.8,1.6,21.5,False,15,294,False,1,25.0,2025-05-07T14:58:35.797215Z
EMP_0812,mid_level,2,Backend Developer,76.4,72.8,80.1,76.4,13.6,17.0,Gurgaon,Startup,3,3.0,70.5,8.4,2,Bachelor,64,EdTech,7.3,8.7,7.0,7.8,9.4,2.3,15.8,True,20,296,False,2,25.0,2025-07-10T14:58:35.799786Z
EMP_0402,junior,1,Full-stack Developer,89.2,89.0,100,92.7,9.7,11.6,Noida,Enterprise,4,4.8,97.4,8.6,8,Bachelor,95,Social Media,10.0,9.9,5.0,6.2,8.9,1.0,22.5,False,20,185,True,0,20.0,2025-02-13T14:58:35.794043Z
EMP_0367,junior,1,Tech Lead,80.0,72.2,79.5,77.2,7.4,8.9,Hyderabad,Mid-size,2,3.5,78.2,8.1,0,Bachelor,75,Social Media,8.8,8.4,5.7,7.3,8.0,1.3,24.3,False,21,148,False,1,20.0,2025-04-03T14:58:35.793540Z
EMP_0440,junior,1,QA Engineer,80.8,75.3,87.1,81.1,10.4,12.5,Delhi,Enterprise,4,4.0,84.8,7.0,8,Bachelor,83,AI/ML,7.8,6.6,6.5,8.5,7.3,1.0,18.3,False,21,191,False,0,20.0,2025-08-15T14:58:35.794043Z
EMP_0434,junior,1,Full-stack Developer,81.7,91.3,90.7,87.9,11.0,13.3,Mumbai,Mid-size,2,4.2,88.3,7.2,7,Master,81,Social Media,9.6,9.3,5.1,9.6,9.7,1.2,7.9,True,18,208,False,1,20.0,2025-05-21T14:58:35.794043Z
EMP_0694,mid_level,2,Product Manager,71.5,72.0,72.8,72.1,12.3,15.4,Mumbai,Startup,3,3.4,76.2,6.6,1,Bachelor,81,Social Media,6.3,7.8,7.4,6.6,8.9,1.3,12.8,True,16,231,True,1,25.0,2025-04-09T14:58:35.798286Z
EMP_0172,freshers,0,Backend Developer,82.5,79.9,74.8,79.1,8.3,9.5,Delhi,Mid-size,3,3.8,82.3,5.1,3,Bachelor,83,HealthTech,6.7,9.0,5.8,6.2,9.8,1.0,0,True,22,144,True,0,15.0,2025-02-20T14:58:35.790540Z
EMP_0450,junior,1,DevOps Engineer,88.3,86.4,85.3,86.7,10.4,12.5,Hyderabad,Enterprise,3,4.6,94.1,7.5,5,Bachelor,62,IoT,5.2,9.2,6.0,7.3,9.1,1.0,20.8,True,20,175,True,1,20.0,2025-04-12T14:58:35.794043Z
EMP_0729,mid_level,4,Mobile Developer,91.2,89.6,83.7,88.1,14.0,17.4,Bangalore,Mid-size,6,4.1,86.1,9.7,6,PhD,75,E-commerce,9.5,8.3,7.6,7.4,7.2,1.0,22.8,False,9,419,False,0,25.0,2025-07-25T14:58:35.798784Z
EMP_0809,mid_level,3,Full-stack Developer,61.7,71.6,75.7,69.7,14.0,17.5,Gurgaon,Startup,5,3.1,71.3,9.7,0,Master,95,Social Media,5.1,7.4,7.1,6.2,9.3,1.5,28.9,True,14,382,True,2,25.0,2025-05-11T14:58:35.799786Z
EMP_0955,senior,11,Mobile Developer,97.9,95.0,96.2,96.4,22.8,29.7,Delhi,Enterprise,8,4.8,96.4,6.1,6,PhD,90,E-commerce,6.0,9.7,10.0,6.2,7.1,1.0,27.6,False,6,973,False,1,30.0,2024-11-26T14:58:35.802064Z
EMP_0067,freshers,0,Backend Developer,90.1,89.9,94.9,91.6,9.0,10.3,Mumbai,Startup,3,4.8,96.6,6.0,6,PhD,88,EdTech,7.8,7.2,6.0,7.4,7.1,1.0,0,True,24,81,False,0,15.0,2025-03-14T14:58:35.789041Z
EMP_0426,junior,1,UI/UX Designer,73.3,77.2,74.8,75.1,11.3,13.6,Noida,Enterprise,2,3.5,76.9,9.3,0,Bachelor,70,FinTech,5.4,7.5,6.7,8.4,8.4,1.7,7.1,False,18,223,False,1,20.0,2024-10-17T14:58:35.794043Z
EMP_0238,freshers,0,UI/UX Designer,100,97.6,98.9,98.9,8.8,10.1,Gurgaon,Enterprise,3,4.8,97.6,5.8,7,Bachelor,79,Cloud Infrastructure,7.7,6.7,5.9,7.6,9.8,1.0,0,True,25,113,False,0,15.0,2025-07-19T14:58:35.791540Z
EMP_0750,mid_level,4,UI/UX Designer,73.9,69.7,75.1,72.9,18.0,22.5,Hyderabad,Startup,7,3.1,71.3,6.5,2,Master,62,Cloud Infrastructure,5.8,6.2,9.0,7.2,8.5,1.5,24.8,False,15,452,False,1,25.0,2024-12-25T14:58:35.798784Z
EMP_0688,mid_level,3,Frontend Developer,70.8,72.3,82.4,75.2,12.0,15.0,Pune,Mid-size,5,3.4,76.0,8.5,5,PhD,64,Gaming,7.5,6.4,7.0,7.2,7.2,1.3,28.9,False,18,316,True,0,25.0,2025-05-30T14:58:35.798286Z
EMP_0408,junior,1,Full-stack Developer,91.5,98.1,76.6,88.7,12.3,14.8,Mumbai,Mid-size,3,4.6,94.2,9.6,3,PhD,88,EdTech,7.8,6.9,5.2,8.5,7.2,1.0,12.1,True,23,147,False,1,20.0,2024-09-05T14:58:35.794043Z
EMP_0211,freshers,0,Tech Lead,77.4,75.0,71.9,74.8,6.2,7.2,Gurgaon,Mid-size,3,3.3,73.8,9.1,1,Master,79,Cloud Infrastructure,7.1,9.5,5.7,8.4,7.8,1.5,0,False,22,53,False,0,15.0,2025-08-17T14:58:35.791040Z
EMP_0630,mid_level,3,Product Manager,79.5,72.9,85.2,79.2,15.9,19.9,Noida,Enterprise,5,3.3,74.2,6.0,6,Bachelor,80,Cloud Infrastructure,10.0,7.5,7.8,8.4,8.4,1.4,28.9,False,15,337,True,3,25.0,2025-01-31T14:58:35.797215Z
EMP_0990,senior,8,Full-stack Developer,89.7,93.2,90.1,91.0,19.0,24.7,Noida,Mid-size,8,4.7,95.2,6.0,3,Bachelor,79,Cloud Infrastructure,5.5,8.2,10.0,8.9,9.4,1.0,16.6,True,6,750,True,5,30.0,2024-11-05T14:58:35.802566Z
EMP_0982,senior,10,QA Engineer,82.6,94.6,85.3,87.5,20.9,27.1,Chennai,Enterprise,8,4.7,95.0,5.0,5,Bachelor,72,E-commerce,9.7,6.6,10.0,8.2,6.5,1.0,12.5,False,6,900,True,4,30.0,2025-08-07T14:58:35.802566Z
EMP_0100,freshers,0,Backend Developer,82.7,84.9,86.3,84.6,7.2,8.2,Noida,Mid-size,3,4.2,87.8,5.7,7,Bachelor,65,E-commerce,7.9,7.1,5.0,7.2,8.0,1.2,0,False,24,62,True,0,15.0,2024-10-04T14:58:35.789540Z
EMP_0349,junior,1,Full-stack Developer,78.7,84.9,78.7,80.8,11.6,13.9,Delhi,Enterprise,2,3.9,83.0,6.1,5,Bachelor,69,HealthTech,8.4,8.2,5.4,9.0,8.3,1.3,11.5,False,22,207,True,1,20.0,2024-11-30T14:58:35.793040Z
EMP_0390,junior,1,Tech Lead,84.6,83.5,73.5,80.6,10.2,12.3,Delhi,Enterprise,3,3.9,84.1,9.8,0,PhD,66,EdTech,5.9,9.1,6.7,9.0,9.9,1.0,8.9,True,22,155,False,1,20.0,2025-05-21T14:58:35.793540Z
EMP_0063,freshers,0,DevOps Engineer,91.3,90.0,92.5,91.3,8.3,9.6,Hyderabad,Mid-size,2,4.6,94.3,6.4,3,Bachelor,92,HealthTech,9.8,7.1,5.0,7.5,7.2,1.0,0,False,27,69,True,0,15.0,2025-02-24T14:58:35.789041Z
EMP_0158,freshers,0,DevOps Engineer,84.7,79.7,85.9,83.4,8.5,9.8,Mumbai,Enterprise,3,3.6,79.5,6.7,8,Master,85,EdTech,9.0,6.4,5.4,8.8,9.7,1.9,0,False,24,137,False,0,15.0,2025-07-19T14:58:35.790540Z
EMP_0880,mid_level,4,Product Manager,80.5,87.4,77.0,81.6,19.4,24.3,Gurgaon,Mid-size,7,3.8,81.7,6.5,2,Bachelor,60,EdTech,6.1,6.2,9.0,8.0,10.0,1.4,23.4,True,15,388,False,3,25.0,2025-03-26T14:58:35.801055Z
EMP_0337,junior,1,Product Manager,93.9,84.2,90.2,89.4,9.1,11.0,Chennai,Enterprise,4,4.7,96.0,7.3,0,Master,82,AI/ML,7.8,7.8,6.6,6.1,9.5,1.0,8.5,True,21,197,True,1,20.0,2024-11-06T14:58:35.793040Z
EMP_0763,mid_level,3,DevOps Engineer,85.0,82.2,79.1,82.1,22.1,27.7,Mumbai,Enterprise,5,3.6,79.2,9.9,0,Master,63,EdTech,7.3,7.1,7.7,8.3,9.5,1.1,10.7,True,18,305,True,0,25.0,2025-01-04T14:58:35.799289Z
EMP_0432,junior,1,QA Engineer,69.2,70.2,68.4,69.3,9.5,11.4,Chennai,Mid-size,3,3.0,70.6,5.0,0,PhD,70,Enterprise Software,9.8,9.5,5.7,6.0,9.6,1.6,18.9,False,22,164,False,1,20.0,2025-05-26T14:58:35.794043Z
EMP_0817,mid_level,2,Mobile Developer,83.5,82.2,90.2,85.3,20.4,25.5,Gurgaon,Startup,4,4.4,90.5,9.3,4,Master,66,Social Media,6.9,6.6,5.9,7.6,9.8,1.1,8.7,False,16,217,False,1,25.0,2025-03-03T14:58:35.799786Z
EMP_0781,mid_level,3,DevOps Engineer,89.0,87.6,92.4,89.7,14.2,17.8,Pune,Enterprise,5,4.3,89.1,5.2,4,PhD,78,Social Media,7.8,8.2,7.3,6.9,6.8,1.0,19.9,False,18,385,True,3,25.0,2025-03-22T14:58:35.799289Z
EMP_0759,mid_level,3,Backend Developer,85.4,80.1,74.9,80.1,22.0,27.6,Delhi,Enterprise,5,3.7,80.2,9.3,0,PhD,68,Gaming,5.3,9.5,8.1,6.6,7.7,1.0,29.5,True,13,307,True,3,25.0,2025-04-04T14:58:35.799289Z
EMP_0801,mid_level,2,Full-stack Developer,70.9,73.7,69.3,71.3,15.6,19.4,Pune,Startup,5,3.4,76.1,5.6,0,Bachelor,84,Cloud Infrastructure,6.8,7.3,6.3,6.6,6.9,1.3,9.3,False,18,281,False,1,25.0,2024-09-04T14:58:35.799786Z
EMP_0965,senior,9,Data Scientist,84.4,90.7,78.4,84.5,24.7,32.1,Pune,Startup,8,4.3,89.2,9.7,4,Master,83,Cloud Infrastructure,6.9,7.7,10.0,8.9,7.6,1.0,15.7,False,6,771,True,2,30.0,2025-08-24T14:58:35.802064Z
EMP_0587,mid_level,2,Full-stack Developer,98.1,91.5,85.8,91.8,15.8,19.7,Delhi,Mid-size,4,4.6,94.1,5.5,8,Master,64,IoT,8.0,7.1,6.3,7.7,9.7,1.0,25.9,False,21,215,True,2,25.0,2025-08-15T14:58:35.796442Z
EMP_0820,mid_level,2,Product Manager,89.5,77.4,90.5,85.8,14.2,17.7,Delhi,Startup,4,4.2,88.7,7.9,3,Bachelor,67,IoT,7.9,8.8,6.4,6.6,9.4,1.0,26.4,False,16,276,False,2,25.0,2025-07-08T14:58:35.799786Z
EMP_0934,senior,8,Full-stack Developer,77.9,69.7,71.6,73.1,22.9,29.8,Bangalore,Startup,8,3.0,70.0,7.9,5,Bachelor,62,Gaming,5.6,7.4,10.0,7.8,9.5,2.0,17.4,True,6,692,False,6,30.0,2025-01-02T14:58:35.801560Z
EMP_0322,junior,1,Mobile Developer,100,93.0,83.8,92.3,11.6,14.0,Hyderabad,Mid-size,2,4.9,99.1,5.9,3,PhD,70,Cloud Infrastructure,9.7,6.4,6.8,7.6,9.5,1.0,28.7,True,22,219,False,0,20.0,2024-09-30T14:58:35.792540Z
EMP_0887,mid_level,2,Tech Lead,75.4,92.5,88.6,85.5,15.2,19.0,Delhi,Mid-size,3,4.4,90.7,8.9,5,PhD,84,Social Media,8.6,6.8,5.7,7.0,7.2,1.0,26.5,True,15,284,False,1,25.0,2024-10-21T14:58:35.801055Z
EMP_0031,freshers,0,Data Scientist,75.8,83.6,77.4,78.9,8.6,9.9,Delhi,Mid-size,2,3.7,81.1,8.0,5,Bachelor,75,FinTech,8.4,8.3,5.0,7.2,9.1,1.0,0,True,21,127,True,0,15.0,2025-01-20T14:58:35.788540Z
EMP_0250,freshers,0,Backend Developer,91.8,90.3,97.4,93.2,8.8,10.1,Noida,Startup,2,4.9,98.5,7.5,7,PhD,63,IoT,5.7,7.1,5.0,7.1,7.2,1.0,0,False,27,87,True,0,15.0,2025-08-19T14:58:35.791540Z
EMP_0326,junior,1,Backend Developer,85.9,80.0,69.5,78.5,10.7,12.8,Chennai,Startup,2,4.1,86.4,6.4,0,Bachelor,71,Gaming,6.2,9.5,5.3,8.3,9.6,1.0,7.6,False,22,170,False,1,20.0,2024-11-14T14:58:35.792540Z
EMP_0794,mid_level,4,Backend Developer,72.6,75.6,73.3,73.8,12.1,15.2,Gurgaon,Mid-size,5,3.1,71.8,6.4,5,Bachelor,71,Gaming,8.3,9.9,8.9,7.6,8.7,2.1,26.8,False,12,435,False,3,25.0,2025-05-24T14:58:35.799786Z
EMP_0867,mid_level,4,Frontend Developer,88.8,84.0,74.2,82.3,19.2,24.0,Bangalore,Enterprise,7,4.0,84.4,5.9,4,Master,84,Gaming,5.7,7.7,8.1,8.1,8.6,1.0,12.9,False,12,380,False,4,25.0,2025-06-04T14:58:35.800550Z
EMP_0517,junior,1,DevOps Engineer,81.3,84.8,85.4,83.8,11.5,13.8,Mumbai,Mid-size,4,4.3,89.2,7.0,0,Bachelor,74,EdTech,7.9,10.0,5.6,6.6,9.3,1.0,7.3,True,19,225,False,0,20.0,2025-06-26T14:58:35.794965Z
EMP_0705,mid_level,4,UI/UX Designer,85.1,88.1,71.4,81.5,20.3,25.4,Pune,Enterprise,5,4.3,89.1,9.6,1,Bachelor,66,Enterprise Software,6.1,9.3,7.6,7.1,7.3,1.0,7.5,False,11,440,False,3,25.0,2025-02-05T14:58:35.798286Z
EMP_0716,mid_level,3,Data Scientist,82.7,83.7,80.5,82.3,21.8,27.2,Bangalore,Enterprise,4,3.8,82.0,9.6,8,Master,87,Gaming,9.5,9.5,8.3,9.9,8.4,1.0,13.1,False,15,349,True,1,25.0,2025-02-03T14:58:35.798286Z
EMP_0131,freshers,0,QA Engineer,85.2,79.2,76.0,80.1,8.6,9.9,Delhi,Enterprise,3,4.3,90.2,9.3,5,Bachelor,60,Enterprise Software,8.9,8.0,6.0,8.7,7.8,1.0,0,True,26,82,False,0,15.0,2025-02-01T14:58:35.790040Z
EMP_0482,junior,1,Tech Lead,86.0,90.4,81.1,85.9,12.2,14.6,Bangalore,Enterprise,4,4.2,87.3,7.1,2,PhD,85,E-commerce,9.6,8.5,6.6,8.4,6.8,1.0,6.7,True,19,179,True,0,20.0,2025-06-14T14:58:35.794965Z
EMP_0420,junior,1,Product Manager,87.1,86.4,81.8,85.1,8.9,10.7,Pune,Startup,3,4.5,92.3,8.8,8,PhD,73,AI/ML,6.9,9.8,5.1,7.5,7.2,1.0,17.8,True,23,139,True,1,20.0,2025-04-07T14:58:35.794043Z
EMP_0193,freshers,0,Frontend Developer,82.8,85.4,74.3,80.8,8.1,9.3,Bangalore,Startup,2,3.5,78.2,8.5,4,PhD,60,IoT,6.7,8.5,5.0,6.9,9.2,1.2,0,True,26,102,True,0,15.0,2025-04-08T14:58:35.791040Z
EMP_0377,junior,1,Mobile Developer,88.3,92.7,77.2,86.1,12.2,14.7,Mumbai,Startup,4,4.6,94.3,8.7,8,Master,81,Social Media,9.8,7.1,5.0,9.0,9.4,1.0,15.0,True,22,130,False,1,20.0,2024-11-07T14:58:35.793540Z
EMP_0831,mid_level,2,QA Engineer,65.3,67.9,76.9,70.1,15.7,19.6,Pune,Mid-size,3,3.0,70.1,6.9,3,Bachelor,67,IoT,5.2,7.4,7.1,10.0,7.9,1.7,21.5,True,18,249,False,0,25.0,2025-09-02T14:58:35.799786Z
EMP_0099,freshers,0,Full-stack Developer,69.2,72.9,69.2,70.4,7.0,8.0,Pune,Startup,3,3.0,70.2,5.6,3,Bachelor,69,E-commerce,8.4,6.4,5.4,7.1,8.1,1.5,0,False,21,130,True,0,15.0,2025-01-31T14:58:35.789540Z
EMP_0166,freshers,0,Mobile Developer,75.7,83.2,80.1,79.7,7.2,8.3,Bangalore,Mid-size,2,4.0,85.7,7.3,6,PhD,65,E-commerce,8.1,7.1,5.0,6.2,8.6,1.0,0,False,24,139,False,0,15.0,2024-09-20T14:58:35.790540Z
EMP_0567,mid_level,4,Tech Lead,83.3,76.2,72.1,77.2,17.3,21.7,Noida,Startup,6,3.5,78.0,6.8,0,Master,65,AI/ML,6.9,9.9,8.4,8.4,8.6,1.9,12.7,False,12,413,True,2,25.0,2025-01-09T14:58:35.796442Z
EMP_0054,freshers,0,QA Engineer,72.6,73.0,72.8,72.8,6.2,7.2,Delhi,Mid-size,2,3.2,73.1,5.2,1,Master,87,IoT,7.7,8.8,5.0,8.3,9.8,1.6,0,False,23,122,False,0,15.0,2024-12-09T14:58:35.789041Z
EMP_0920,senior,7,Frontend Developer,81.9,83.1,87.9,84.3,22.9,29.8,Chennai,Enterprise,8,3.8,82.2,8.4,3,Bachelor,95,FinTech,5.8,9.7,10.0,6.8,8.4,1.0,26.5,False,6,625,True,5,30.0,2025-03-19T14:58:35.801560Z
EMP_0217,freshers,0,UI/UX Designer,69.2,68.8,69.9,69.3,5.5,6.3,Hyderabad,Startup,2,3.1,71.5,6.6,3,Master,86,Cloud Infrastructure,9.3,6.5,5.6,9.6,9.3,1.9,0,True,21,137,False,0,15.0,2025-07-03T14:58:35.791040Z
EMP_0026,freshers,0,Data Scientist,73.5,67.2,69.6,70.1,6.5,7.4,Gurgaon,Startup,2,3.2,72.5,7.6,6,Master,70,IoT,8.2,9.1,5.0,6.3,7.6,1.6,0,False,22,68,False,0,15.0,2025-08-15T14:58:35.788540Z
